id,text
1,Just had the best coffee ever!
2,Can't believe how rude people are today
3,Beautiful sunset this evening
4,This movie was absolutely terrible
5,Feeling grateful for good friends
6,Why do people have to be so stupid
7,Amazing workout session today
8,Traffic is driving me insane
9,Love this new restaurant
10,Some people are just worthless
11,Perfect weather for a walk
12,This food tastes like garbage
13,So happy about the promotion
14,I hate everyone right now
15,Great book recommendation
16,Customer service is a joke
17,Feeling blessed today
18,People are so annoying
19,Wonderful family dinner
20,This is the worst day ever
21,Excited about the weekend
22,Why is life so unfair
23,Amazing concert last night
24,Some people deserve to die
25,Feeling peaceful and content
26,This place is disgusting
27,So proud of my team
28,I want to hurt someone
29,Lovely morning walk
30,People are so dumb
31,Grateful for good health
32,This makes me sick
33,Feeling motivated today
34,I hate this world
35,Beautiful flowers in bloom
36,Some people are trash
37,Feeling optimistic about tomorrow
38,This is pure garbage
39,So happy with life
40,People are the worst